content_type,deg_type,deg_label,method,edge_recovery,original_edges,method_edges
scene,motion_blur,mblur_mild_v,Canny Only,0.2858974358974359,2340,2113
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.28547008547008546,2340,3072
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.15598290598290598,2340,2505
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.32222222222222224,2340,223337
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.2858974358974359,2340,2113
scene,gaussian_blur,gblur_heavy,Canny Only,0.020512820512820513,2340,211
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.12094017094017094,2340,654
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,2340,2459
scene,gaussian_blur,gblur_heavy,Adaptive Thresh,0.2743589743589744,2340,230584
scene,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.0547008547008547,2340,1144
scene,gaussian_blur,gblur_mild,Canny Only,0.5376068376068376,2340,2251
scene,gaussian_blur,gblur_mild,CLAHE + Canny,0.5452991452991452,2340,2262
scene,gaussian_blur,gblur_mild,HistEq + Canny,0.0,2340,2505
scene,gaussian_blur,gblur_mild,Adaptive Thresh,0.382051282051282,2340,232112
scene,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.11837606837606837,2340,3909
scene,combined,combined_dark_blur,Canny Only,0.0,2340,0
scene,combined,combined_dark_blur,CLAHE + Canny,0.01452991452991453,2340,123
scene,combined,combined_dark_blur,HistEq + Canny,0.1371794871794872,2340,10005
scene,combined,combined_dark_blur,Adaptive Thresh,0.7786324786324786,2340,237217
scene,combined,combined_dark_blur,Ours (ADRR + Canny),0.13504273504273503,2340,1212
scene,combined,combined_moderate,Canny Only,0.17136752136752137,2340,534
scene,combined,combined_moderate,CLAHE + Canny,0.22777777777777777,2340,922
scene,combined,combined_moderate,HistEq + Canny,0.10213675213675213,2340,2616
scene,combined,combined_moderate,Adaptive Thresh,0.5893162393162393,2340,235562
scene,combined,combined_moderate,Ours (ADRR + Canny),0.02435897435897436,2340,525
scene,dark,dark_severe,Canny Only,0.0,1702,0
scene,dark,dark_severe,CLAHE + Canny,0.0,1702,0
scene,dark,dark_severe,HistEq + Canny,0.7702702702702703,1702,43298
scene,dark,dark_severe,Adaptive Thresh,0.5235017626321974,1702,237086
scene,dark,dark_severe,Ours (ADRR + Canny),0.19623971797884843,1702,3149
scene,dark,dark_heavy,Canny Only,0.0,1702,0
scene,dark,dark_heavy,CLAHE + Canny,0.23678025851938894,1702,442
scene,dark,dark_heavy,HistEq + Canny,0.7984723854289072,1702,57002
scene,dark,dark_heavy,Adaptive Thresh,0.5223266745005876,1702,236483
scene,dark,dark_heavy,Ours (ADRR + Canny),0.20681551116333724,1702,3825
scene,dark,dark_moderate,Canny Only,0.282021151586369,1702,503
scene,dark,dark_moderate,CLAHE + Canny,0.5370152761457109,1702,985
scene,dark,dark_moderate,HistEq + Canny,0.7961222091656874,1702,65192
scene,dark,dark_moderate,Adaptive Thresh,0.5223266745005876,1702,230474
scene,dark,dark_moderate,Ours (ADRR + Canny),0.282021151586369,1702,503
scene,dark,dark_mild,Canny Only,0.8848413631022327,1702,1558
scene,dark,dark_mild,CLAHE + Canny,0.9688601645123385,1702,1753
scene,dark,dark_mild,HistEq + Canny,0.7961222091656874,1702,65563
scene,dark,dark_mild,Adaptive Thresh,0.5223266745005876,1702,212815
scene,dark,dark_mild,Ours (ADRR + Canny),0.8848413631022327,1702,1558
scene,motion_blur,mblur_severe_h,Canny Only,0.13748531139835488,1702,537
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.14159811985898943,1702,1063
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.11045828437132785,1702,1645
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.6774383078730905,1702,232239
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.06874265569917744,1702,818
scene,motion_blur,mblur_moderate_h,Canny Only,0.17743830787309048,1702,844
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.18155111633372503,1702,1834
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.1227967097532315,1702,1619
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.5193889541715628,1702,228929
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.17743830787309048,1702,844
scene,motion_blur,mblur_moderate_d,Canny Only,0.05464159811985899,1702,302
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.057579318448883664,1702,1097
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.019388954171562868,1702,1700
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.6680376028202115,1702,224029
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.05464159811985899,1702,302
scene,motion_blur,mblur_mild_v,Canny Only,0.11515863689776733,1702,831
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.09929494712103408,1702,2012
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.021739130434782608,1702,1686
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.4988249118683901,1702,225205
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.06698002350176263,1702,1755
