content_type,deg_type,deg_label,psnr_degraded,psnr_restored,psnr_improvement,ssim_degraded,ssim_restored,ssim_improvement,steps_applied
scene,dark,dark_mild,6.542445465067855,6.542445465067855,0.0,0.6449579640584331,0.6449579640584331,0.0,['none_required']
scene,motion_blur,mblur_severe_h,28.303609840019924,28.303609840019924,0.0,0.8354033458815674,0.8354033458815674,0.0,['none_required']
scene,motion_blur,mblur_moderate_h,30.12459497716497,30.12459497716497,0.0,0.8486983367421671,0.8486983367421671,0.0,['none_required']
scene,motion_blur,mblur_moderate_d,29.105294370237267,21.73285878286313,-7.372435587374138,0.8375744472613136,0.7783304467781356,-0.059244000483178016,['wiener_deconvolution']
scene,motion_blur,mblur_mild_v,31.39553225674408,31.39553225674408,0.0,0.8523263823787665,0.8523263823787665,0.0,['none_required']
scene,gaussian_blur,gblur_heavy,29.35145225468981,21.725968493264002,-7.625483761425809,0.8289696078887877,0.7948049031249292,-0.03416470476385847,['wiener_deconvolution']
scene,gaussian_blur,gblur_mild,31.5008660300876,21.68664730034365,-9.81421872974395,0.8515817200795552,0.782093575938113,-0.06948814414144222,['wiener_deconvolution']
scene,combined,combined_dark_blur,3.5180755997939817,9.009615230399117,5.491539630605136,0.2438954009841589,0.6909958185690928,0.44710041758493385,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,combined,combined_moderate,4.604182321441202,10.380677898677044,5.776495577235842,0.39252950538342585,0.7162756122444175,0.32374610686099164,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_severe,2.4121988614537577,6.625378363469725,4.213179502015967,0.16445224328930755,0.5546485449459904,0.39019630165668284,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_heavy,2.9063596189281604,7.846808531969805,4.940448913041645,0.25020699098200977,0.6057207615705398,0.35551377058853,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_moderate,3.9958362826737743,3.9958362826737743,0.0,0.419173930700825,0.419173930700825,0.0,['none_required']
scene,dark,dark_mild,5.92739049885319,5.92739049885319,0.0,0.6429614278145405,0.6429614278145405,0.0,['none_required']
scene,motion_blur,mblur_severe_h,23.985764646501902,23.985764646501902,0.0,0.8095009934954974,0.8095009934954974,0.0,['none_required']
scene,motion_blur,mblur_moderate_h,25.429317729445756,25.429317729445756,0.0,0.8275509994362081,0.8275509994362081,0.0,['none_required']
scene,motion_blur,mblur_moderate_d,25.619014844251012,25.619014844251012,0.0,0.8254191184083077,0.8254191184083077,0.0,['none_required']
scene,motion_blur,mblur_mild_v,26.47050372496591,26.47050372496591,0.0,0.8430300784566578,0.8430300784566578,0.0,['none_required']
scene,gaussian_blur,gblur_heavy,25.222842585177116,20.218006530188838,-5.004836054988278,0.814504446165083,0.7813534828379257,-0.03315096332715728,['wiener_deconvolution']
scene,gaussian_blur,gblur_mild,27.56546564374829,19.95886793344455,-7.606597710303738,0.8457484577311352,0.7551910707398889,-0.09055738699124627,['wiener_deconvolution']
scene,combined,combined_dark_blur,2.898895552270237,7.9621635019659065,5.063267949695669,0.2371593085420392,0.6654917506478393,0.42833244210580007,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,combined,combined_moderate,3.983003816406558,3.700169843058764,-0.28283397334779403,0.3856675238512355,0.33827704323493885,-0.04739048061629664,['wiener_deconvolution']
scene,dark,dark_severe,3.374489121251189,8.03149383489668,4.65700471364549,0.1769117012135222,0.6012104538413935,0.4242987526278713,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_heavy,3.868594704319048,9.627178332682472,5.758583628363425,0.26163482807931726,0.6605413548834241,0.3989065268041069,"['zero_dce_enhancement', 'wiener_deconvolution']"
scene,dark,dark_moderate,4.958266123508441,4.958266123508441,0.0,0.42938305659027887,0.42938305659027887,0.0,['none_required']
scene,dark,dark_mild,6.88907957349059,6.88907957349059,0.0,0.6493230919449613,0.6493230919449613,0.0,['none_required']
scene,motion_blur,mblur_severe_h,27.89501291235038,21.562105898052664,-6.332907014297717,0.8305409573960133,0.7945551848808455,-0.03598577251516777,['wiener_deconvolution']
scene,motion_blur,mblur_moderate_h,29.673817296366106,29.673817296366106,0.0,0.847420891393246,0.847420891393246,0.0,['none_required']
scene,motion_blur,mblur_moderate_d,28.242562190282303,28.242562190282303,0.0,0.8332522862241448,0.8332522862241448,0.0,['none_required']
